user_id,average_tweets_daily,average_retweets_daily,average_hashtags,average_urls,average_followers,right_partiality,left_partiality,polarity,subjectivity,average_tweet_size,label,date
ERRIVVVVERS,0.4252386002120891,6.0275715800636265,0.7357436318816762,0.8849630238290879,735.9963845521775,0.025965488907148726,0.03500410846343468,0.07973282347441754,0.29846493163931537,102.26622843056697,LeftTroll,2017-01-31 00:00:00
ERTMANGRETA,0.6,0.2606060606060606,0.7183098591549296,0.5985915492957746,49.978873239436616,0.028169014084507043,0.028169014084507043,0.12269771168043615,0.42694732155559617,70.09154929577464,RightTroll,2015-11-26 00:00:00
ERVIN_ALFORD,0.0,1.0,1.0,0.0,72.0,0.0,0.0,0.0,0.05,98.0,HashtagGamer,2015-08-22 00:00:00
ESTERBRIANG,0.1935483870967742,0.005376344086021506,0.2972972972972973,0.21621621621621623,57.86486486486486,0.10810810810810811,0.0,0.18657616220116224,0.45222436722436726,67.8108108108108,Fearmonger,2015-11-26 00:00:00
EURYNMCCOLLEY,0.18248175182481752,0.5231143552311436,0.9827586206896551,0.2413793103448276,335.5551724137931,0.013793103448275862,0.013793103448275862,0.05098158486628313,0.2327351848343228,67.3344827586207,HashtagGamer,2016-01-25 00:00:00
EVAGREEN69,0.6613545816733067,3.0225763612217795,1.0198269646719538,0.7217015140591204,1940.921052631579,0.05371304974765681,0.11355443403028118,0.04412560821176257,0.2898698661948482,110.12761355443403,RightTroll,2017-01-01 00:00:00
EVANNGHARTR,60.86046511627907,1.9069767441860466,0.4814746202297147,1.5887365690996667,2026.3301222675066,0.03834753612449055,0.10411263430900333,0.02502009305823503,0.30300666998152176,115.26750648388293,RightTroll,2017-10-01 00:00:00
EVANNMOSSS,0.34782608695652173,7.3478260869565215,0.8587570621468926,0.576271186440678,112.08474576271186,0.03954802259887006,0.03389830508474576,0.014910831478628088,0.27236415812687,93.65536723163842,RightTroll,2015-05-13 00:00:00
EVANNOTMCGREGOR,0.29015544041450775,0.07253886010362694,2.557142857142857,0.7285714285714285,48.01428571428571,0.0,0.02857142857142857,0.0984361471861472,0.3916197691197691,84.77142857142857,Fearmonger,2015-11-26 00:00:00
EVANS_TAB,0.6007604562737643,0.0,0.5063291139240507,0.27848101265822783,58.01898734177215,0.03164556962025317,0.0949367088607595,0.1383240510515036,0.40932669065580457,63.22784810126582,RightTroll,2016-03-22 00:00:00
EVASSLTRT,3.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0375,0.2833333333333334,102.66666666666667,RightTroll,2017-07-22 00:00:00
EVBOWMAN,0.6,6.72,0.9180327868852459,0.7049180327868853,98.7103825136612,0.01639344262295082,0.06557377049180328,0.056949987120752145,0.29460705480514227,97.19672131147541,RightTroll,2015-05-12 00:00:00
EVEGREENE88,0.2857142857142857,1.1428571428571428,0.2,0.9,0.9,0.1,0.0,0.1,0.15,59.7,LeftTroll,2017-05-17 00:00:00
EVEWEBSTER373,0.30434782608695654,1.289855072463768,1.0981818181818181,0.6481818181818182,305.4563636363636,0.04363636363636364,0.09090909090909091,0.0463655290416654,0.26317984547018636,94.34272727272727,RightTroll,2015-10-10 00:00:00
FACEMECHASE,0.24456521739130435,0.05434782608695652,1.290909090909091,0.12727272727272726,67.32727272727273,0.10909090909090909,0.07272727272727272,0.0334203069657615,0.2942567230749049,78.43636363636364,RightTroll,2016-01-15 00:00:00
FAIRYMINKY,1.26,0.08,1.0,0.26865671641791045,2.208955223880597,0.029850746268656716,0.05223880597014925,0.008798808985376149,0.22602706166139,71.6044776119403,Fearmonger,2015-11-26 00:00:00
FAMEONYOUBITCH,1.6700201207243461,4.997987927565393,0.9631864815932408,0.24019312009656005,1999.3678334339168,0.017501508750754374,0.01780325890162945,0.03915971427395499,0.25816997703954553,74.37809293904647,HashtagGamer,2017-01-10 00:00:00
FANNIEBRADLEY88,0.84375,0.041666666666666664,0.9411764705882353,0.23529411764705882,52.694117647058825,0.03529411764705882,0.047058823529411764,0.002389597942906765,0.31133398953987185,73.78823529411764,Fearmonger,2015-11-26 00:00:00
FIGHTM_D_B,0.3557422969187675,2.291316526610644,0.6105820105820106,0.834920634920635,373.46243386243384,0.0455026455026455,0.05714285714285714,0.06047990478926325,0.3155723598369101,104.85714285714286,LeftTroll,2016-01-11 00:00:00
FIGHTTORESIST,3.4237288135593222,0.3728813559322034,1.2514880952380953,0.3898809523809524,1299.1830357142858,0.15178571428571427,0.1130952380952381,0.04934286053351941,0.43819818604713107,169.97321428571428,LeftTroll,2018-01-10 00:00:00
FINLEY1589,0.2608695652173913,24.972826086956523,1.0027999138488046,0.890587981908249,1439.4542321774716,0.057505922894680164,0.13159595089381865,0.04261599556387137,0.31751971225781256,115.86991169502477,RightTroll,2017-01-01 00:00:00
FINNAGLO,0.3416666666666667,3.9,0.6981008513425017,0.8899803536345776,685.9227242960052,0.024230517354289455,0.05239030779305828,0.057099692134604085,0.2985039386533329,103.97707924034054,LeftTroll,2016-01-01 00:00:00
FISHERRRCALEB,0.2346368715083799,0.0335195530726257,2.0833333333333335,0.0625,71.64583333333333,0.020833333333333332,0.041666666666666664,0.05637100168350168,0.30429029882154884,88.66666666666667,RightTroll,2016-01-09 00:00:00
FLOYDSWENSON555,0.5901639344262295,0.014344262295081968,0.43050847457627117,0.6338983050847458,33.39322033898305,0.01694915254237288,0.03389830508474576,0.08332584929195097,0.23424308459901683,86.4271186440678,Fearmonger,2016-01-14 00:00:00
